skift,maal,mean,lo,hi,sd,scenario,kilde
Natt_helg,ventet_pst,4.152589387256941,3.9184072563867858,4.410626612299243,0.13442344267332856,S5b_overlop_ko15,trace
Natt_helg,dpri1_makkerpar_pst,78.90984483681113,78.00762439807384,79.8164125200642,0.47070498889154927,S5b_overlop_ko15,trace
Dag_hverdag,Normal,79.50772543854147,78.81029291852224,80.01709214075142,0.3057607353341011,S3_variantB_medS,trace
Dag_hverdag,Brudd,15.288057454682306,14.802577933889483,15.80097848585586,0.25545910389306464,S3_variantB_medS,trace
Dag_hverdag,Svikt,5.204217106776224,4.860597127265884,5.54020573292354,0.1715082762037316,S3_variantB_medS,trace
Dag_hverdag,overloep_pst,1.1387442764849776,0.9783290472307595,1.3173493069058522,0.0838605242233338,S3_variantB_medS,trace
Dag_hverdag,vl_pst,3.6997428338455753,3.4806811766919656,3.933074076397165,0.12557768598117733,S3_variantB_medS,trace
Dag_hverdag,ventet_pst,1.484559576825775,1.3231512262434924,1.6573104183654264,0.09312265349679395,S3_variantB_medS,trace
Dag_hverdag,dpri1_makkerpar_pst,80.75984055804683,79.8704534130543,81.51594419531638,0.46837098215803813,S3_variantB_medS,trace
Natt_helg,Normal,71.83351363346371,71.37305483897812,72.35021219938422,0.3003026275584179,S3_variantB_medS,trace
Natt_helg,Brudd,10.195278910432444,9.83502538071066,10.587084962969127,0.20383918485990374,S3_variantB_medS,trace
Natt_helg,Svikt,17.97120745610385,17.366439211117587,18.56640592493967,0.3098243660251131,S3_variantB_medS,trace
Natt_helg,overloep_pst,3.894482816010651,3.5863776316884417,4.162228509611383,0.14907516109109462,S3_variantB_medS,trace
Natt_helg,vl_pst,13.816676375135224,13.320920362819338,14.330739785304152,0.25992556665600247,S3_variantB_medS,trace
Natt_helg,ventet_pst,4.144267842778286,3.9100857119081307,4.4023050678205875,0.13442344267332856,S3_variantB_medS,trace
Natt_helg,dpri1_makkerpar_pst,78.91051364365971,78.00762439807384,79.8164125200642,0.4704783039667087,S3_variantB_medS,trace
Dag_hverdag,Normal,73.40997335552056,72.85078596261847,73.85507978486316,0.28680275152778684,S3_variantB_utenS,trace
Dag_hverdag,Brudd,17.128834477362098,16.696728374884856,17.51404035301459,0.20792314355800187,S3_variantB_utenS,trace
Dag_hverdag,Svikt,9.461192167117344,9.151561524975484,9.853727750869165,0.17258444710695972,S3_variantB_utenS,trace
Dag_hverdag,overloep_pst,2.657613486662903,2.500371437910439,2.8467744331857485,0.10044253879296151,S3_variantB_utenS,trace
Dag_hverdag,vl_pst,5.923988946007785,5.728315454788578,6.133999940569934,0.11140242010297556,S3_variantB_utenS,trace
Dag_hverdag,ventet_pst,3.526778197089908,3.3101803702493093,3.7117047514337504,0.10894796191704388,S3_variantB_utenS,trace
Dag_hverdag,dpri1_makkerpar_pst,74.66741405082212,73.6870951669158,75.68634778276034,0.5742960253669217,S3_variantB_utenS,trace
Natt_helg,Normal,62.68373831537659,62.23609306945824,63.12447466951937,0.21708481449536257,S3_variantB_utenS,trace
Natt_helg,Brudd,18.36593566134332,17.943856498815617,18.709788339573624,0.2049553778601497,S3_variantB_utenS,trace
Natt_helg,Svikt,18.950326023280102,18.5068197447849,19.352219760067243,0.24074212221653643,S3_variantB_utenS,trace
Natt_helg,overloep_pst,5.446053335370979,5.191602353480553,5.658859937342402,0.12780928141352113,S3_variantB_utenS,trace
Natt_helg,vl_pst,12.844553118871147,12.507163597463132,13.161916405593338,0.18985684703975286,S3_variantB_utenS,trace
Natt_helg,ventet_pst,6.092241664756374,5.8529456712768395,6.300145182241919,0.124812147841118,S3_variantB_utenS,trace
Natt_helg,dpri1_makkerpar_pst,66.39680310326378,65.56982343499197,67.46187800963081,0.5347550099874948,S3_variantB_utenS,trace
Dag_hverdag,Normal,84.29762006186472,83.48429976604668,85.31475439464633,,S4_nhpp_baseline,nhpp
Dag_hverdag,Brudd,13.023146007451663,12.23641702176214,13.73265131118474,,S4_nhpp_baseline,nhpp
Dag_hverdag,Svikt,2.6792339306836346,2.37712702697131,3.017554559920502,,S4_nhpp_baseline,nhpp
Dag_hverdag,overloep_pst,0.2397055796632215,0.16007876509776958,0.31478973954827216,,S4_nhpp_baseline,nhpp
Dag_hverdag,vl_pst,2.3917180737963664,2.117632402252905,2.6304186246047503,,S4_nhpp_baseline,nhpp
